,id,所在地,アクセス,間取り,築年数,方角,面積,所在階,バス・トイレ,キッチン,放送・通信,室内設備,駐車場,周辺環境,建物構造,契約期間,賃料,diff
16274,16275,東京都台東区下谷３丁目8-9,日比谷線	入谷(東京都)駅	徒歩8分		山手線	鶯谷駅	徒歩13分		日比谷線	三ノ輪駅	徒歩10分,2LDK,32年3ヶ月,,54.1m2,4階／8階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	温水洗浄便座／	洗面台独立,ガスコンロ／	コンロ3口／	システムキッチン,光ファイバー／	CATV,エアコン付	シューズボックス／	出窓／	バルコニー／	フローリング／	2面採光／	室内洗濯機置場／	エレベーター	公営水道／	下水／	都市ガス,駐輪場	空有	0円	駐車場	空無	バイク置き場	無,【ドラッグストア】 343m	【飲食店】 82m	【飲食店】 303m	【飲食店】 401m	【スーパー】 91m	【スーパー】 461m	【コンビニ】 259m	【コンビニ】 276m	【郵便局】 385m	【病院】 425m,SRC（鉄骨鉄筋コンクリート）,2年間,178000,42922.640625
2501,2502,東京都練馬区豊玉北２丁目2-5,都営大江戸線	新江古田駅	徒歩4分		西武池袋線	江古田駅	徒歩6分		西武有楽町線	新桜台駅	徒歩14分,3DK,41年9ヶ月,南東,45.2m2,3階／3階建,専用バス／	専用トイレ／	バス・トイレ別／	洗面台独立,ガスコンロ／	システムキッチン	／	給湯,インターネット対応／	CATV,エアコン付	バルコニー／	フローリング／	2面採光／	ペアガラス／	室外洗濯機置場／	タイル張り	公営水道／	下水／	都市ガス,"駐輪場	空有	バイク置き場	空有	駐車場	近隣	23,000円(税込)	距離200m",【スーパー】 450m	【スーパー】 557m	【コンビニ】 437m,RC（鉄筋コンクリート）,2年間,180000,42585.96875
28759,28760,東京都渋谷区恵比寿４丁目,山手線	恵比寿駅	徒歩8分		南北線	目黒駅	徒歩14分		都営三田線	白金台駅	徒歩20分,1K,25年0ヶ月,東,40.44m2,4階／13階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	洗面台独立,IHコンロ	／	コンロ2口／	システムキッチン	／	給湯,インターネット対応／	CATV／	CSアンテナ／	BSアンテナ,エアコン付	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,"駐輪場	空有	駐車場	近隣	40,000円(税込)	距離200m	バイク置き場	無",【スーパー】 924m	【スーパー】 812m	【スーパー】 816m,SRC（鉄骨鉄筋コンクリート）,2年間,221000,41789.59375
16520,16521,東京都港区六本木６丁目,日比谷線	六本木駅	徒歩5分		南北線	麻布十番駅	徒歩9分,2LDK,16年4ヶ月,北西,94.09m2,17階／43階建（地下2階）,専用バス／	専用トイレ／	バス・トイレ別／	シャワー,システムキッチン,,床暖房	バルコニー／	フローリング／	室内洗濯機置場／	エレベーター,,,SRC（鉄骨鉄筋コンクリート）,3年間	※この物件は	定期借家	です。,880000,41785.25
15801,15802,東京都世田谷区代沢５丁目８－１３,小田急小田原線	下北沢駅	徒歩6分		京王井の頭線	下北沢駅	徒歩6分		京王井の頭線	池ノ上駅	徒歩9分,1LDK,6年2ヶ月,東,51.55m2,6階／6階建,バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立,ガスコンロ／	コンロ2口／	システムキッチン	／	給湯,インターネット対応／	高速インターネット／	CATV／	CSアンテナ／	BSアンテナ／	インターネット使用料無料,エアコン付	シューズボックス／	バルコニー／	フローリング／	室内洗濯機置場／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,駐車場	無	駐輪場	無	バイク置き場	無,【コンビニ】 140m	【コンビニ】 199m	【スーパー】 402m	【スーパー】 553m	【郵便局】 170m,RC（鉄筋コンクリート）,2年間,245000,40525.265625
15417,15418,東京都港区南麻布１丁目16-2,南北線	麻布十番駅	徒歩7分		南北線	白金高輪駅	徒歩16分		都営大江戸線	赤羽橋駅	徒歩18分,2LDK,5年1ヶ月,北,125m2,7階／7階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	給湯／	独立キッチン／	L字キッチン,インターネット対応／	光ファイバー,エアコン付	ウォークインクローゼット	シューズボックス／	ロフト付き／	バルコニー／	フローリング／	24時間換気システム	／	3面採光／	室内洗濯機置場／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,"駐車場	空有	54,000円(税込)	駐輪場	空有	バイク置き場	無",【スーパー】 217m	【スーパー】 541m	【コンビニ】 256m	【コンビニ】 413m,RC（鉄筋コンクリート）,2年間	※この物件は	定期借家	です。,1300000,40284.75
20977,20978,東京都中央区日本橋人形町２丁目,日比谷線	人形町駅	徒歩1分		半蔵門線	水天宮前駅	徒歩6分		都営新宿線	浜町駅	徒歩6分,1LDK,18年11ヶ月,南,46.57m2,10階／12階建,専用バス／	専用トイレ／	バス・トイレ別／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	カウンターキッチン,インターネット対応／	CATV／	CSアンテナ／	BSアンテナ,エアコン付	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター	公営水道／	下水／	都市ガス,"駐車場	近隣	43,200円	距離363m",,SRC（鉄骨鉄筋コンクリート）,2年間,260000,40252.421875
30957,30958,東京都千代田区麹町１丁目,半蔵門線	半蔵門駅	徒歩1分		有楽町線	麹町駅	徒歩6分		総武線・中央線（各停）	市ケ谷駅	徒歩14分,1LDK,13年7ヶ月,南,68.11m2,9階／9階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	カウンターキッチン	／	独立キッチン,インターネット対応／	高速インターネット／	光ファイバー／	CATV／	CSアンテナ／	BSアンテナ,冷房／	エアコン付	シューズボックス／	バルコニー／	ルーフバルコニー	／	フローリング／	24時間換気システム	／	2面採光／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,,,RC（鉄筋コンクリート）,,418000,40151.09375
19208,19209,東京都豊島区東池袋４丁目,有楽町線	東池袋駅	徒歩1分		山手線	池袋駅	徒歩8分		東京メトロ副都心線雑司が谷駅徒歩10分,2LDK,12年7ヶ月,南東,83.36m2,28階／42階建（地下3階）,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立,ガスコンロ／	システムキッチン	／	給湯,,エアコン付／	床暖房	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	室内洗濯機置場／	エレベーター,"駐車場	空有	25,700円(税込)",【コンビニ】 10m	【スーパー】 10m	【ドラッグストア】 10m	【公園】 120m,RC（鉄筋コンクリート）,,403000,39975.5
7544,7545,東京都港区南麻布１丁目,都営大江戸線	麻布十番駅	徒歩8分		都営大江戸線	赤羽橋駅	徒歩16分		都営三田線	白金高輪駅	徒歩17分,1LDK,4年0ヶ月,南西,40.04m2,3階／13階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	カウンターキッチン	／	給湯,インターネット対応／	光ファイバー／	CATV／	CSアンテナ／	BSアンテナ／	インターネット使用料無料,エアコン付／	床暖房	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,"駐車場	空有	37,000円(税込)	駐輪場	空有	バイク置き場	無",【スーパー】 345m	【スーパー】 728m	【スーパー】 810m	【コンビニ】 229m	【コンビニ】 384m,RC（鉄筋コンクリート）,2年間,244000,39895.75
25092,25093,東京都葛飾区青戸２丁目2-1,京成本線	青砥駅	徒歩1分		京成本線	京成高砂駅	徒歩16分		京成押上線	京成立石駅	徒歩16分,2LDK,24年4ヶ月,,78.6m2,5階／6階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	給湯,インターネット対応／	光ファイバー,エアコン付	トランクルーム	シューズボックス／	バルコニー／	ルーフバルコニー	／	フローリング／	2面採光／	室内洗濯機置場／	エレベーター／	タイル張り	都市ガス,駐車場	無	駐輪場	無	バイク置き場	無,【スーパー】 140m	【スーパー】 362m	【スーパー】 536m	【コンビニ】 112m	【コンビニ】 125m	【公園】 660m,RC（鉄筋コンクリート）,2年間,240000,39743.125
3950,3951,東京都杉並区梅里１丁目21-12,丸ノ内線(池袋－荻窪)	新高円寺駅	徒歩5分		丸ノ内線(池袋－荻窪)	東高円寺駅	徒歩7分		中央線（快速）	高円寺駅	徒歩15分,1LDK,23年5ヶ月,南,40m2,4階／6階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	温水洗浄便座,ガスコンロ／	コンロ2口／	システムキッチン	／	給湯／	独立キッチン,,ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	室内洗濯機置場／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,駐車場	無	駐輪場	無	バイク置き場	無,【スーパー】 227m	【コンビニ】 181m,RC（鉄筋コンクリート）,2年間,170000,39408.6953125
4505,4506,東京都江東区新大橋３丁目,都営新宿線	森下(東京都)駅	徒歩1分		都営大江戸線	森下(東京都)駅	徒歩1分		都営新宿線	浜町駅	徒歩11分,2DK,28年7ヶ月,南,44.55m2,8階／8階建,専用バス／	バス・トイレ別／	シャワー／	追焚機能／	温水洗浄便座,ガスコンロ／	コンロ2口／	システムキッチン	／	給湯,インターネット対応／	光ファイバー／	CSアンテナ／	BSアンテナ,エアコン付	シューズボックス／	バルコニー／	室内洗濯機置場／	エレベーター,駐輪場	空有	0円	駐車場	無,【小学校】 269m	【学校】 1159m	【幼稚園・保育園】 258m	【郵便局】 285m	【図書館】 1276m	【公園】 1631m	【病院】 1171m,SRC（鉄骨鉄筋コンクリート）,2年間,172000,39316.875
12770,12771,東京都江東区東陽５丁目,東西線	東陽町駅	徒歩4分		東西線	木場(東京都)駅	徒歩10分		東22／江東区役所　3分,3LDK,33年0ヶ月,東,83.74m2,6階／6階建,バス・トイレ別／	シャワー／	追焚機能／	温水洗浄便座／	洗面台独立,ガスコンロ／	コンロ3口／	システムキッチン	／	カウンターキッチン	／	給湯,インターネット対応／	光ファイバー,エアコン付	シューズボックス／	バルコニー／	フローリング／	室内洗濯機置場／	エレベーター	公営水道／	下水／	都市ガス,駐輪場	空有	バイク置き場	無,【コンビニ】 329m	【スーパー】 362m	【スーパー】 688m	【スーパー】 531m	【スーパー】 507m	【コンビニ】 377m,RC（鉄筋コンクリート）,2年間,260000,39030.15625
5375,5376,東京都品川区上大崎２丁目18-3,山手線	目黒駅	徒歩5分		南北線	白金台駅	徒歩15分		山手線	恵比寿駅	徒歩11分,1K,19年10ヶ月,南西,33.39m2,7階／8階建（地下1階）,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ2口／	システムキッチン	／	独立キッチン,高速インターネット,エアコン付	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター	公営水道／	下水／	都市ガス,,【コンビニ】 67m	【コンビニ】 41m	【公園】 204m	【デパート】 206m	【銀行】 182m,RC（鉄筋コンクリート）,2年間,183000,38999.90625
8028,8029,東京都中央区銀座８丁目１５－５,都営大江戸線	汐留駅	徒歩4分		山手線	新橋駅	徒歩5分		日比谷線	築地駅	徒歩15分,1LDK,8年4ヶ月,北西,45.25m2,5階／5階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,IHコンロ	／	コンロ2口／	システムキッチン,インターネット対応／	光ファイバー,冷房／	エアコン付	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	2面採光／	室内洗濯機置場／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,駐輪場	空有,,鉄骨造,,225000,38866.34375
11658,11659,東京都中央区日本橋本町４丁目４－１１,総武本線	新日本橋駅	徒歩2分		山手線	神田(東京都)駅	徒歩5分		銀座線	三越前駅	徒歩5分,1K,1年7ヶ月,南西,33.18m2,1階／12階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	浴室乾燥機	／	温水洗浄便座／	洗面台独立,IHコンロ	／	システムキッチン,インターネット対応／	光ファイバー／	CSアンテナ／	BSアンテナ,冷房／	エアコン付	フローリング／	2面採光／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水,駐輪場	空有,,RC（鉄筋コンクリート）,3年間	※この物件は	定期借家	です。,253000,38808.0
15982,15983,東京都中央区日本橋人形町２丁目,都営浅草線	人形町駅	徒歩1分		半蔵門線	水天宮前駅	徒歩3分		都営新宿線	浜町駅	徒歩5分,1LDK,18年11ヶ月,南,46.57m2,10階／12階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	カウンターキッチン,インターネット対応／	光ファイバー,冷房／	エアコン付	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,駐輪場	空有,,SRC（鉄骨鉄筋コンクリート）,,260000,38519.125
22734,22735,東京都文京区本郷１丁目,都営三田線	水道橋駅	徒歩3分		総武線・中央線（各停）	水道橋駅	徒歩7分		丸ノ内線(池袋－荻窪)	本郷三丁目駅	徒歩9分,3LDK,13年8ヶ月,南,74.97m2,10階／13階建,専用バス／	専用トイレ／	バス・トイレ別／	追焚機能／	浴室乾燥機	／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	カウンターキッチン	／	給湯,インターネット対応／	CATV／	CSアンテナ／	BSアンテナ,エアコン付／	床暖房	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	2面採光／	室内洗濯機置場／	敷地内ごみ置き場	公営水道／	下水／	都市ガス,"駐車場	空有	36,000円(税込)	駐輪場	無	バイク置き場	無",【スーパー】 752m	【コンビニ】 675m	【コンビニ】 714m,RC（鉄筋コンクリート）,2年間,398000,38389.625
5774,5775,東京都目黒区五本木２丁目,東急東横線	祐天寺駅	徒歩5分		東急東横線	学芸大学駅	徒歩10分,1DK,11年9ヶ月,南,49.15m2,3階／3階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座,システムキッチン	／	給湯,インターネット対応／	CATV,エアコン付	トランクルーム	フローリング／	室内洗濯機置場／	エレベーター	都市ガス,,,RC（鉄筋コンクリート）,,260000,38380.125
17447,17448,東京都千代田区二番町,丸ノ内線(池袋－荻窪)	四ツ谷駅	徒歩4分		有楽町線	麹町駅	徒歩4分		有楽町線	市ケ谷駅	徒歩8分,1LDK,7年6ヶ月,西,43.01m2,4階／6階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ2口／	システムキッチン	／	カウンターキッチン	／	独立キッチン,インターネット対応／	高速インターネット／	光ファイバー／	CATV／	CSアンテナ／	BSアンテナ,冷房／	エアコン付	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	2面採光／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,駐輪場	空有,,RC（鉄筋コンクリート）,,240000,38349.5625
272,273,東京都墨田区吾妻橋３丁目,都営浅草線	本所吾妻橋駅	徒歩3分		半蔵門線	押上駅	徒歩9分		東武スカイツリーライン	とうきょうスカイツリー駅	徒歩3分,2LDK,1年9ヶ月,北西,51.37m2,7階／7階建,専用バス／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	洗面台独立,ガスコンロ／	コンロ3口／	システムキッチン	／	カウンターキッチン	／	給湯,インターネット対応／	CATV／	インターネット使用料無料,エアコン付	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	室内洗濯機置場／	エレベーター	公営水道／	下水／	都市ガス,駐車場	無,,RC（鉄筋コンクリート）,2年間	※この物件は	定期借家	です。,260000,38085.21875
1010,1011,東京都目黒区青葉台１丁目9-6,東急東横線	代官山駅	徒歩8分		東急東横線	中目黒駅	徒歩9分		山手線	渋谷駅	徒歩16分,1LDK,2年7ヶ月,東,59.51m2,4階／4階建,バス・トイレ別／	シャワー／	追焚機能／	温水洗浄便座,ガスコンロ／	給湯,インターネット対応／	CATV／	インターネット使用料無料,エアコン付／	床暖房	ウォークインクローゼット	バルコニー／	フローリング／	ペアガラス／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター,"駐車場	空有	54,000円(税込)	駐輪場	無	バイク置き場	無",,RC（鉄筋コンクリート）,2年間,400000,38054.0
13728,13729,東京都港区芝浦３丁目4-2,山手線	田町(東京都)駅	徒歩4分		都営三田線	三田(東京都)駅	徒歩10分		都営浅草線	泉岳寺駅	徒歩15分,1LDK,22年10ヶ月,南東,76.16m2,28階／28階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	洗面台独立／	脱衣所,IHコンロ	／	コンロ4口以上／	システムキッチン	／	給湯／	独立キッチン,インターネット対応／	光ファイバー,エアコン付	トランクルーム	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	2面採光／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,"駐車場	空有	46,440円(税込)	駐輪場	空有	バイク置き場	空有",【スーパー】 262m	【コンビニ】 666m	【病院】 757m,RC（鉄筋コンクリート）,2年間,387000,38039.5
13333,13334,東京都目黒区三田１丁目,山手線	恵比寿駅	徒歩3分		日比谷線	恵比寿駅	徒歩6分		東京メトロ南北線目黒駅徒歩13分,2LDK,28年11ヶ月,南東,94.77m2,4階／5階建（地下1階）,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	洗面台独立,IHコンロ	／	システムキッチン,,エアコン付	シューズボックス／	バルコニー／	エレベーター,"駐車場	空有	54,000円(税込)",,RC（鉄筋コンクリート）,2年間	※この物件は	定期借家	です。,550000,38009.9375
22043,22044,東京都世田谷区奥沢１丁目,東急東横線	自由が丘駅	徒歩11分		東急大井町線	緑が丘(東京都)駅	徒歩9分		東急目黒線	大岡山駅	徒歩4分,1LDK,14年1ヶ月,南,47.27m2,2階／3階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	浴室乾燥機	／	温水洗浄便座,コンロ設置可（コンロ2口）／	システムキッチン	／	給湯,光ファイバー／	BSアンテナ,冷房／	エアコン付	バルコニー／	フローリング／	室内洗濯機置場	公営水道／	下水／	都市ガス,"駐車場	空有	23,000円",,RC（鉄筋コンクリート）,,208000,38008.9375
19745,19746,東京都渋谷区神南１丁目,山手線	渋谷駅	徒歩10分		山手線	原宿駅	徒歩9分		副都心線	明治神宮前駅	徒歩8分,1R,15年4ヶ月,南,35.58m2,2階／7階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	温水洗浄便座／	洗面台独立／	脱衣所,IHコンロ	／	コンロ2口／	システムキッチン	／	給湯,インターネット対応／	光ファイバー／	インターネット使用料無料,エアコン付／	床暖房	バルコニー／	フローリング／	24時間換気システム	／	2面採光／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター	都市ガス,駐輪場	空有	駐車場	無	バイク置き場	無,,RC（鉄筋コンクリート）,2年間,210000,37793.875
8931,8932,東京都品川区上大崎２丁目,山手線	目黒駅	徒歩5分		山手線	恵比寿駅	徒歩11分		南北線	白金台駅	徒歩15分,1R,19年10ヶ月,南西,28.17m2,3階／7階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	洗面台独立,ガスコンロ／	コンロ1口／	給湯,インターネット対応,エアコン付	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,駐車場	無	駐輪場	無	バイク置き場	無,【スーパー】 70m	【スーパー】 310m	【コンビニ】 4m	【コンビニ】 190m	【病院】 665m,RC（鉄筋コンクリート）,2年間,146000,37781.015625
24024,24025,東京都渋谷区恵比寿２丁目17-22,日比谷線	広尾駅	徒歩9分		山手線	恵比寿駅	徒歩9分		南北線	白金台駅	徒歩21分,2LDK,1年3ヶ月,北東,49.8m2,4階／5階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ2口／	システムキッチン	／	給湯,インターネット対応／	光ファイバー／	インターネット使用料無料,エアコン付	ウォークインクローゼット	シューズボックス／	フローリング／	24時間換気システム	／	2面採光／	室内洗濯機置場／	敷地内ごみ置き場	／	タイル張り	公営水道／	下水／	都市ガス,駐車場	無	駐輪場	無	バイク置き場	無,【スーパー】 667m	【コンビニ】 91m	【コンビニ】 236m,RC（鉄筋コンクリート）,2年間,310000,37677.8125
5824,5825,東京都杉並区久我山４丁目34-8,京王井の頭線	久我山駅	徒歩13分		京王井の頭線	三鷹台駅	徒歩6分		京王井の頭線	井の頭公園駅	徒歩15分,2LDK,30年11ヶ月,南西,97.7m2,2階／3階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	洗面台独立,ガスコンロ／	コンロ3口／	システムキッチン	／	カウンターキッチン	／	給湯,インターネット対応／	光ファイバー／	CATV／	CSアンテナ／	BSアンテナ,エアコン付	ウォークインクローゼット	出窓／	バルコニー／	フローリング／	室内洗濯機置場／	敷地内ごみ置き場	／	タイル張り	公営水道／	下水／	都市ガス,"駐車場	空有	28,080円(税込)	(形状(平置))	駐輪場	空有	バイク置き場	無",【スーパー】 547m	【スーパー】 771m	【スーパー】 972m	【コンビニ】 619m	【コンビニ】 1106m	【コンビニ】 421m,RC（鉄筋コンクリート）,,299000,37576.8125
25643,25644,東京都世田谷区奥沢２丁目,東急大井町線	緑が丘(東京都)駅	徒歩3分		東急目黒線	奥沢駅	徒歩10分		東急目黒線	大岡山駅	徒歩11分,2LDK,31年7ヶ月,南,51.31m2,2階／5階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	洗面台独立,コンロ2口／	システムキッチン	／	給湯,光ファイバー／	CATV／	CSアンテナ／	BSアンテナ,エアコン付	バルコニー／	フローリング／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,,,RC（鉄筋コンクリート）,,210000,37521.859375
17990,17991,東京都渋谷区宇田川町3-3,半蔵門線	渋谷駅	徒歩5分		山手線	渋谷駅	徒歩7分		京王井の頭線	神泉駅	徒歩14分,2LDK,5年10ヶ月,南,60.48m2,12階／13階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	システムキッチン	／	給湯,インターネット対応／	光ファイバー／	CATV／	BSアンテナ,エアコン付／	床暖房	フローリング／	室内洗濯機置場／	エレベーター	公営水道／	下水／	都市ガス,駐車場	無	駐輪場	無	バイク置き場	無,【コンビニ】 10m	【コンビニ】 57m	【コンビニ】 156m,RC（鉄筋コンクリート）,2年間,380000,37480.8125
11352,11353,東京都品川区東五反田４丁目3-33,都営浅草線	高輪台駅	徒歩5分		南北線	白金台駅	徒歩10分		山手線	五反田駅	徒歩14分,1DK,22年5ヶ月,南東,32.14m2,3階／3階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	温水洗浄便座,ガスコンロ／	コンロ2口／	システムキッチン	／	給湯,インターネット対応／	光ファイバー,エアコン付	シューズボックス／	バルコニー／	フローリング／	2面採光／	室内洗濯機置場	公営水道／	下水／	都市ガス,"駐車場	近隣	42,000円(税込)	距離100m	駐輪場	無	バイク置き場	無",【スーパー】 806m	【スーパー】 523m	【スーパー】 591m	【コンビニ】 74m	【スーパー】 154m	【コンビニ】 552m,RC（鉄筋コンクリート）,2年間,150000,37409.78125
