S12_001,S12_033
二月田,0
古島,4819
お台場海浜公園,16944
船の科学館,3590
テレコムセンター,13744
汐留,9045
台場,23436
有明,5061
国際展示場正門,20916
新橋,64852
竹芝,5006
芝浦ふ頭,5308
日の出,2282
青海,5673
新豊洲,3924
市場前,2583
有明テニスの森,3942
豊洲,22518
新石切,18030
長田,0
吉田,15150
荒本,14945
生駒,0
学研奈良登美ヶ丘,13706
白庭台,9076
学研北生駒,6150
ポートターミナル,879
中埠頭,2961
市民広場,14880
貿易センター,3131
三宮,72700
北埠頭,1774
南公園,4845
みなとじま,16660
中公園,8004
医療センター,14971
京コンピュータ前,3911
神戸空港,6822
岩瀬浜,376
競輪場前,71
東岩瀬,290
インテック本社前,351
大広田,148
蓮町,533
犬島新町,166
城川原,330
越中中島,206
粟島（大阪屋ショップ前）,272
下奥井,242
奥田中学校前,392
富山駅北,3151
盛岡,11371
御堂,50
二戸,878
小鳥谷,117
渋民,671
斗米,158
いわて沼宮内,920
厨川,3135
岩手川口,299
一戸,574
金田一温泉,204
滝沢,3104
小繋,15
奥中山高原,365
目時,0
好摩,1891
青山,3145
巣子,991
巣子,0
上総中野,128
大多喜,250
東総元,3
上総中川,8
国吉,140
久我原,6
上総東,34
西畑,11
小谷松,6
総元,7
西大原,15
新田野,12
大原,365
西長田,304
鷲塚針原,279
西別院,335
中角,92
新田塚,517
番田,26
福井口,527
三国,728
太郎丸,276
福大前西福井,2033
大関,150
三国神社,147
水居,73
あわら湯のまち,469
西春江,280
田原町,1588
下兵庫,165
三国港,320
本荘,103
志比堺,41
越前竹原,115
保田,14
山王,133
勝山,759
越前野中,53
松岡,435
発坂,106
光明寺,24
永平寺口,438
小舟渡,19
轟,81
下志比,85
比島,1
福井口,0
越前新保,547
越前開発,477
福井,6137
越前島橋,65
観音町,605
東藤島,119
新福井,49
追分口,90
東多良木,68
一武,123
木上,14
公立病院前,35
多良木,392
あさぎり,478
湯前,319
新鶴羽,8
肥後西村,458
おかどめ幸福,183
東免田,232
相良藩願成寺,773
川村,4
人吉温泉,807
平原,185
屋代高校前,2036
中軽井沢,1511
御代田,1578
軽井沢,2966
信濃追分,523
田中,2484
上田,10901
西上田,1979
戸倉,2309
坂城,1680
信濃国分寺,1269
大屋,2105
滋野,787
屋代,4353
テクノさかき,907
小諸,3176
篠ノ井,0
みどり中街,250
みどり中央,1536
みどり口,1328
和倉温泉,0
七尾,0
笠師保,27
田鶴浜,178
西岸,22
穴水,121
能登中島,119
能登鹿島,3
桐生,0
花輪,71
水沼,126
神戸,206
相老,748
通洞,40
上神梅,39
間藤,141
足尾,63
運動公園,90
小中,24
本宿,16
大間々,465
沢入,28
下新田,52
原向,2
中野,6
海部,0
宍喰,31
甲浦,41
福島,4068
角田,1465
南角田,28
大泉,510
保原,1046
卸町,641
高子,116
瀬上,307
兜,3
岡,118
上保原,431
二井田,68
北丸森,21
丸森,453
槻木,1144
横倉,21
富野,41
東船岡,179
梁川,496
福島学院前,694
向瀬上,62
新田,258
やながわ希望の森公園前,396
あぶくま,12
新豊田,14915
保見,1218
山口,1791
大門,2678
高蔵寺,10872
永覚,571
新上挙母,1583
八草,6139
末野原,2379
瀬戸市,6339
三河上郷,1875
北野桝塚,2137
中水野,3355
三河豊田,14299
篠原,281
瀬戸口,4085
愛環梅坪,1905
四郷,1390
貝津,1062
北岡崎,3590
岡崎,10395
中岡崎,3830
六名,1392
杁ヶ池公園,3263
陶磁資料館南,426
公園西,2570
愛・地球博記念公園,4911
芸大通,2097
長久手古戦場,6887
はなみずき通,2947
八草,7294
藤が丘,19781
多宝塔,804
山門,804
河芸,96
伊勢上野,113
鈴鹿サーキット稲生,263
中瀬古,258
鈴鹿,526
玉垣,389
徳田,38
河原田,258
東一身田,124
津,545
稲梓,61
伊豆熱川,1122
蓮台寺,795
片瀬白田,416
河津,1675
伊豆北川,73
伊豆急下田,3558
南伊東,1233
今井浜海岸,288
富戸,413
城ヶ崎海岸,776
伊豆高原,3289
伊豆稲取,1668
伊豆大川,293
伊東,0
川奈,1563
十国登り口,476
十国峠,476
修善寺,4899
三島,17000
大仁,2533
韮山,2923
牧之郷,452
伊豆長岡,4953
三島二日町,3015
原木,679
大場,4977
三島田町,2703
田京,2593
伊豆仁田,3267
三島広小路,3895
穴部,1330
和田河原,3162
小田原,17583
岩原,1603
大雄山,5135
井細田,3453
緑町,473
相模沼田,2990
五百羅漢,1462
塚原,2333
飯田岡,1783
富士フイルム前,1342
いよ立花,2272
久米,2790
福音寺,1636
横河原,1235
牛渕,214
愛大医学部南口,1313
牛渕団地前,937
平井,966
田窪,781
鷹ノ子,1074
松山市,0
石手川公園,457
北久米,1161
見奈良,738
梅本,1589
南堀端,0
松山市駅前,8309
松山市,0
余戸,2456
土橋,983
岡田,977
鎌田,1049
古泉,2317
土居田,2379
松前,1054
地蔵町,518
郡中,1071
郡中港,1081
新川,674
古町,4887
松山市,19364
大手町,2700
西衣山,1193
衣山,2198
三津,1988
山西,2451
梅津寺,312
高浜,1261
港山,325
本町1丁目,0
市役所前,820
南町,1148
大街道,5383
道後温泉,3194
勝山町,1700
南堀端,714
上一万,1573
道後公園,741
平和通1丁目,0
警察署前,1065
県庁前,927
平和通1丁目,351
木屋町,670
鉄砲町,765
高砂町,327
萱町6丁目,383
古町,0
赤十字病院前,1542
清水町,457
本町6丁目,1017
古町,0
大手町,576
松山駅前,4109
宮田町,946
西堀端,552
本町1丁目,0
本町5丁目,79
本町4丁目,75
本町6丁目,1017
本町3丁目,79
総社,202
清音,1424
神辺,503
御領,93
いずえ,56
吉備真備,514
備中呉妹,87
小田,100
矢掛,733
湯野,132
子守唄の里高屋,192
三谷,65
井原,801
早雲の里荏原,209
川辺宿,189
川跡,0
遥堪,38
高浜,87
浜山公園北口,219
出雲大社前,1015
旅伏,117
伊野灘,46
松江フォーゲルパーク,49
園,76
湖遊館新,43
川跡,325
朝日ヶ丘,222
長江,23
布崎,138
松江しんじ湖温泉,1910
大津町,271
高ノ宮,27
松江イングリッシュガーデン前,114
武志,62
美談,38
雲州平田,1072
出雲科学館パークタウン前,45
大寺,20
秋鹿町,147
一畑口,126
津ノ森,209
電鉄出雲市,1442
木野,516
市原,1003
八幡前,870
岩倉,1667
京都精華大前,1168
宝ヶ池,0
鞍馬,1944
二軒茶屋,1699
二ノ瀬,99
貴船口,1746
修学院,3750
八瀬比叡山口,1261
一乗寺,3004
出町柳,16682
茶山,2904
三宅八幡,900
元田中,1122
宝ヶ池,1051
遠州小松,2051
上島,3380
浜北,3487
遠州芝本,1309
自動車学校前,1933
八幡,2092
遠州病院,2044
遠州岩水寺,853
新浜松,16099
さぎの宮,2261
積志,1789
美薗中央公園,2167
遠州西ヶ崎,1715
遠州小林,2658
助信,2584
曳馬,2531
第一通り,3077
西鹿島,2980
みなとみらい,84887
元町・中華街,62659
新高島,6082
馬車道,39016
日本大通り,25938
横浜,200276
吉野町,15403
阪東橋,20551
港南中央,18499
伊勢佐木長者町,16373
上大岡,74723
弘明寺,20022
蒔田,22414
関内,0
湘南台,48800
踊場,18847
舞岡,5421
上永谷,36935
下永谷,11225
中田,18105
立場,22522
戸塚,89349
下飯田,6493
仲町台,32205
高島町,9662
北新横浜,12536
三ツ沢上町,16873
新羽,21164
岸根公園,11672
片倉町,22558
三ツ沢下町,12506
横浜,141376
センター北,58701
新横浜,71952
桜木町,37824
関内,45043
センター南,59199
あざみ野,80153
中川,19017
八景島,4784
産業振興センター,4540
野島公園,2774
幸浦,5640
海の公園柴口,2074
並木北,3464
鳥浜,7644
金沢八景,15478
並木中央,5036
新杉田,34056
海の公園南口,1586
南部市場,2814
福浦,3894
市大医学部,11102
柳川,0
田町,122
郵便局前,551
新西大寺町筋,155
大雲寺前,158
清輝橋,646
西川緑道公園,406
岡山駅前,7498
西大寺町,444
東山・おかでんミュージアム,2920
柳川,482
県庁通り,1948
門田屋敷,623
城下,2238
中納言,308
小橋,202
壺川,4338
牧志,7181
安里,4149
県庁前,13871
美栄橋,5961
旭橋,6817
儀保,3163
那覇空港,12757
首里,7204
おもろまち,11509
市立病院前,1670
小禄,7582
赤嶺,4423
奥武山公園,3987
養鱒公園,23
七ヶ岳登山口,8
湯野上温泉,206
芦ノ牧温泉,160
南若松,31
田島高校前,155
会津荒海,56
ふるさと公園,29
中荒井,19
会津下郷,197
門田,2
塔のへつり,60
会津田島,618
あまや,10
会津山村道場,20
芦ノ牧温泉南,12
大川ダム公園,2
会津長野,18
弥五島,69
西若松,466
会津高原尾瀬口,88
岳南原田,263
須津,168
ジヤトコ前(ジヤトコ1地区前),115
比奈,142
岳南富士岡,311
吉原,2016
吉原本町,1079
岳南江尾,157
本吉原,353
神谷,121
基山,787
松崎,368
大板井,151
高田,65
小郡,1000
立野,68
今隈,125
西太刀洗,192
山隈,212
甘木,688
太刀洗,221
黒部ダム,4075
扇沢,4075
大宝,95
黒子,192
下館,1251
騰波ノ江,79
下妻,1733
大田郷,367
中妻,232
寺原,1857
宗道,254
戸頭,6040
取手,11332
北水海道,447
石下,853
守谷,15630
新取手,1997
西取手,2480
南守谷,2426
稲戸井,1488
小絹,1988
南石下,265
三妻,242
玉村,87
水海道,2973
新守谷,2564
入地,66
竜ヶ崎,2568
佐貫,2621
紀伊御坊,65
御坊,0
市役所前,45
西御坊,40
学門,80
井の頭公園,7042
吉祥寺,147437
三鷹台,23062
駒場東大前,39417
神泉,10702
明大前,0
渋谷,360845
永福町,33333
東松原,18751
浜田山,30489
新代田,9835
高井戸,43994
久我山,40261
富士見ヶ丘,14050
下北沢,114367
池ノ上,9867
西永福,18377
仙川,81630
代田橋,20123
笹塚,81557
幡ヶ谷,32314
桜上水,39110
八幡山,43260
芦花公園,14587
新宿,786052
下高井戸,45586
上北沢,15859
明大前,108231
初台,64347
千歳烏山,82167
新宿,0
調布,125624
高幡不動,60612
北野,23011
飛田給,26779
長沼,4211
つつじヶ丘,45393
柴崎,18153
中河原,25961
東府中,21342
武蔵野台,25728
百草園,7823
布田,16629
平山城址公園,8707
多磨霊園,12818
国領,39097
京王八王子,59375
分倍河原,94116
西調布,17496
南平,10739
聖蹟桜ヶ丘,64142
府中,90224
東府中,0
府中競馬正門前,3175
高尾,27653
山田,5303
めじろ台,17804
京王片倉,4936
北野,0
高尾山口,11308
狭間,7849
京王よみうりランド,13694
橋本,97219
京王堀之内,32268
南大沢,64366
京王多摩センター,87411
多摩境,20487
若葉台,27400
京王永山,46433
稲城,21346
調布,0
京王稲田堤,55181
京王多摩川,17686
多摩動物公園,6602
高幡不動,0
宇治,6209
木幡,5155
桃山南口,4738
中書島,0
六地蔵,8876
黄檗,5409
三室戸,4102
観月橋,4371
神宮丸太町,8575
出町柳,38428
三条,0
清水五条,9445
祇園四条,55792
東福寺,17042
七条,14817
三条,38490
中書島,0
香里園,50992
大和田,19052
淀,15982
守口市,31959
樟葉,55432
伏見桃山,11014
御殿山,11576
枚方公園,18299
萱島,23373
寝屋川市,55030
中書島,12350
西三荘,16264
伏見稲荷,13605
丹波橋,45615
藤森,12716
門真市,25907
橋本,5044
墨染,7668
光善寺,17749
八幡市,9150
鳥羽街道,3127
枚方市,81336
深草,8906
古川橋,19938
牧野,19956
土居,4932
北浜,29421
淀屋橋,96566
天満橋,48027
京橋,0
森小路,8636
千林,8232
関目,12625
京橋,157302
野江,10837
滝井,5342
上栄町,1393
四宮,2037
大谷,319
京阪山科,3981
追分,1511
びわ湖浜大津,0
御陵,0
河内森,8925
宮之阪,4943
星ヶ丘,4465
私市,2539
交野市,9191
村野,4866
郡津,5771
枚方市,0
男山山上,0
八幡市,0
南滋賀,1891
石場,2796
三井寺,1693
膳所本町,2582
錦,1928
京阪石山,7696
びわ湖浜大津,5532
粟津,1389
京阪大津京,6206
滋賀里,2033
京阪膳所,6618
坂本比叡山口,2935
松ノ馬場,1464
近江神宮前,1358
大津市役所前,2984
瓦ヶ浜,1284
中ノ庄,1509
穴太,883
島ノ関,1966
石山寺,2559
唐橋前,1966
青砥,0
京成曳舟,18962
押上,28322
八広,11993
四ツ木,15737
京成立石,38856
京成高砂,0
京成金町,25881
柴又,10050
千葉中央,0
千葉寺,4907
大森台,2824
ちはら台,5825
学園前,4976
おゆみ野,5031
京成津田沼,0
新千葉,1829
みどり台,7524
京成稲毛,6998
京成千葉,28197
検見川,4022
千葉中央,17861
西登戸,2631
京成幕張,8206
京成幕張本郷,16297
京成成田,0
東成田,1723
成田空港,24837
空港第2ビル,28239
京成大和田,12487
志津,16270
京成西船,10686
京成佐倉,18789
大神宮下,4789
京成八幡,35584
京成大久保,34705
実籾,24514
谷津,10906
ユーカリが丘,21963
京成成田,36924
京成津田沼,59560
船橋競馬場,20611
勝田台,53800
宗吾参道,2628
公津の杜,12602
海神,5411
東中山,6902
鬼越,5494
八千代台,46843
京成中山,3787
京成臼井,20639
大佐倉,371
京成船橋,94507
京成酒々井,6807
京成関屋,25279
堀切菖蒲園,22019
菅野,4205
千住大橋,15385
京成上野,49028
江戸川,5800
日暮里,103528
青砥,50364
新三河島,5977
国府台,12710
町屋,20655
京成小岩,18151
京成高砂,104223
市川真間,7418
お花茶屋,33442
今出川,27675
烏丸御池,106440
鞍馬口,9911
九条,5047
北山,14083
国際会館,25932
四条,97980
京都,123360
松ヶ崎,11786
五条,13852
丸太町,21796
北大路,0
北大路,30328
竹田,29998
十条,7184
くいな橋,5711
山科,43490
東野,11169
蹴上,10713
二条城前,8640
京都市役所前,27075
御陵,14124
二条,19471
東山,19731
烏丸御池,0
烏丸御池,0
三条京阪,25875
小野,7003
六地蔵,13243
椥辻,16151
石田,6506
醍醐,12295
三崎口,17854
北久里浜,26595
ＹＲＰ野比,18937
新大津,6900
津久井浜,6568
京急長沢,7289
三浦海岸,11681
堀ノ内,0
京急久里浜,44003
京急蒲田,0
穴守稲荷,18698
糀谷,26918
大鳥居,30551
天空橋,19836
羽田空港国内線ターミナル,90516
新逗子,25315
神武寺,7087
六浦,16260
金沢八景,0
京急川崎,0
鈴木町,10081
小島新田,21740
東門前,12616
港町,8147
産業道路,10523
川崎大師,17729
大森海岸,14642
立会川,19096
青物横丁,42941
北品川,9612
品川,284888
新馬場,16867
鮫洲,10821
泉岳寺,0
堀ノ内,12395
金沢八景,58882
京急川崎,129351
京急蒲田,61746
京急蒲田,0
安針塚,4872
京急鶴見,32705
杉田,34651
南太田,17625
汐入,21588
逸見,5256
大森町,21415
京急新子安,8517
八丁畷,15703
追浜,42366
雑色,31106
生麦,29679
弘明寺,30386
花月園前,6801
横須賀中央,67293
能見台,31056
上大岡,144504
金沢文庫,70524
馬堀海岸,9406
神奈川,4637
浦賀,21064
黄金町,22576
戸部,16011
井土ヶ谷,29115
仲木戸,22996
屏風浦,17942
鶴見市場,20877
横浜,323668
京急富岡,22843
子安,7740
県立大学,12450
京急田浦,12838
神奈川新町,19267
京急大津,5102
梅屋敷,15879
六郷土手,15823
日ノ出町,28391
平和島,47873
ケーブル比叡,655
ケーブル八瀬,655
妙心寺,555
北野白梅町,3286
龍安寺,1140
常盤,1399
等持院,794
宇多野,517
鳴滝,925
御室仁和寺,615
帷子ノ辻,0
鹿王院,1168
西院,5004
西大路三条,985
四条大宮,5790
蚕ノ社,739
嵐電嵯峨,1630
車折神社,2468
嵐山,4269
山ノ内,1001
太秦広隆寺,1497
有栖川,2104
帷子ノ辻,3386
南桑,0
河山,0
柳瀬,0
根笠,0
錦町,0
川西,0
椋野,0
南河内,0
行波,0
守内かさ神,0
北河内,0
清流新岩国,0
大和西大寺,0
尼ヶ辻,5588
西ノ京,7288
九条,4937
平端,4237
石見,2136
田原本,13173
笠縫,2615
近鉄郡山,18377
大和八木,0
新ノ口,4092
ファミリー公園前,434
八木西口,6032
平端,0
畝傍御陵前,3872
筒井,7960
結崎,4053
橿原神宮前,18862
大阿太,108
越部,512
下市口,2814
吉野神宮,462
福神,1669
壺阪山,1224
葛,377
吉野口,0
岡寺,1435
六田,788
飛鳥,2363
吉野,449
市尾,456
橿原神宮前,0
薬水,109
大和上市,580
京都,82414
東寺,8742
伊勢田,7340
山田川,4874
大久保,24813
富野荘,6613
狛田,2311
木津川台,2381
三山木,4441
向島,16517
竹田,0
桃山御陵前,14997
近鉄丹波橋,46795
新田辺,25881
上鳥羽口,7650
小倉,16453
伏見,7132
十条,6050
久津川,7250
近鉄宮津,390
高の原,35623
新祝園,14984
平城,3323
興戸,10227
寺田,10787
大和西大寺,46530
近鉄新庄,2487
近鉄御所,3430
忍海,1699
尺土,0
松ヶ崎,1053
伊勢中川,0
明野,1949
小俣,665
斎宮,1463
伊勢市,10097
明星,1198
東松阪,2043
漕代,337
櫛田,1098
宮町,1204
伊勢中原,389
松阪,16020
宇治山田,8870
船津,200
志摩神明,249
穴川,57
鵜方,1956
志摩赤崎,433
沓掛,24
上之郷,106
松尾,147
賢島,1197
志摩磯部,698
中之郷,328
加茂,210
白木,34
五知,20
志摩横山,185
鳥羽,0
服部川,2274
信貴山口,1402
河内山本,0
生駒山上,212
宝山寺,725
霞ヶ丘,0
梅屋敷,7
鳥居前,888
生駒,0
南生駒,5272
一分,5418
菜畑,3935
勢野北口,1896
信貴山下,3187
竜田川,2095
王寺,10150
平群,3308
東山,3802
元山上口,1768
萩の台,2927
高安山,34
信貴山口,0
大三,441
東青山,26
赤目口,1447
伊勢石橋,81
西青山,1
美旗,1592
青山町,1983
川合高岡,791
名張,12396
伊賀上津,99
榊原温泉口,1010
桔梗が丘,6608
伊勢中川,0
鶴橋,160158
今里,10671
布施,0
大阪上本町,0
大阪上本町,0
大阪上本町,0
法善寺,3790
関屋,4459
室生口大野,1236
大和八木,30854
榛原,9900
三本松,158
大和朝倉,2160
大和高田,16446
堅下,3799
二上,8710
松塚,1299
安堂,2217
恩智,4671
長瀬,31810
弥刀,10814
久宝寺口,5314
耳成,3917
築山,2910
高安,11538
桜井,17137
大阪教育大前,6455
長谷寺,989
河内山本,19878
近鉄下田,4630
五位堂,26373
大福,1698
真菅,5127
河内国分,15804
近鉄八尾,35762
俊徳道,6462
川西,3760
喜志,17612
滝谷不動,6600
河内長野,12563
汐ノ宮,2552
富田林,13768
古市,0
富田林西口,6557
池の浦,795
鳥羽,4541
宇治山田,0
五十鈴川,2323
朝熊,128
平端,0
前栽,4012
二階堂,3532
天理,10274
佐味田川,1570
黒田,654
新王寺,7080
但馬,796
箸尾,1777
西田原本,4809
池部,1216
大輪田,2378
桜,3501
高角,1051
中菰野,1023
湯の山温泉,555
伊勢川島,2354
菰野,2499
大羽根園,790
伊勢松本,2599
中川原,1499
近鉄四日市,0
柏原南口,735
道明寺,0
柏原,0
生駒,49283
石切,9313
河内永和,11260
河内花園,11431
東生駒,17685
額田,3535
枚岡,5168
河内小阪,27790
若江岩田,14772
新大宮,29375
富雄,28974
瓢箪山,23378
八戸ノ里,25686
学園前,54483
近鉄奈良,54727
東花園,17841
菖蒲池,13337
大和西大寺,0
布施,38240
小古曽,0
赤堀,0
追分,0
南日永,0
泊,0
日永,0
内部,0
あすなろう四日市,0
当麻寺,1464
河内松原,29540
土師ノ里,7167
布忍,4990
高見ノ里,6490
上ノ太子,4892
尺土,4326
河堀口,3192
高鷲,6672
大阪阿部野橋,162779
橿原神宮前,0
磐城,1383
浮孔,1569
今川,4391
河内天美,16841
恵我ノ荘,10801
坊城,3155
藤井寺,36447
駒ヶ谷,1793
二上山,1141
針中野,9727
橿原神宮西口,2157
矢田,9346
二上神社口,833
高田市,7696
北田辺,5046
道明寺,6345
古市,21039
近鉄日本橋,48028
大阪難波,0
大阪上本町,74928
大阪上本町,0
西日野,0
日永,0
伏屋,5364
近鉄名古屋,106751
烏森,4490
近鉄八田,3792
黄金,2475
米野,830
伊勢朝日,3996
近鉄長島,2803
近鉄富田,21527
佐古木,2758
益生,2319
近鉄蟹江,12304
川原町,1754
霞ヶ浦,3189
川越富洲原,6017
阿倉川,4389
桑名,29695
戸田,4059
富吉,5394
近鉄弥富,11762
南が丘,2948
津新町,12295
白塚,1804
近鉄四日市,45694
長太ノ浦,1295
久居,10174
千里,2568
箕田,960
高田本山,2093
海山道,1480
桃園,342
楠,1536
白子,14764
塩浜,6458
新正,1385
江戸橋,8019
伊勢若松,1999
鼓ヶ浦,1117
磯山,1513
豊津上野,1305
北楠,1705
千代崎,2327
津,33676
伊勢中川,7229
平田町,5154
鈴鹿市,3224
三日市,1227
柳,241
伊勢若松,0
多賀大社前,199
高宮,0
八日市,0
平田,295
太郎坊宮前,251
新八日市,908
武佐,314
市辺,367
近江八幡,4410
尼子,353
長谷野,148
水口松尾,104
桜川,242
河辺の森,22
朝日野,72
豊郷,258
高宮,230
彦根,2130
朝日大塚,139
彦根口,809
八日市,3538
米原,346
京セラ前,108
鳥居本,198
日野,853
愛知川,705
五箇荘,144
大学前,169
水口,648
水口石橋,108
貴生川,1345
水口城南,918
フジテック前,586
日向前田,0
小林,0
えびの上江,0
西小林,0
高原,0
広原,0
えびの,0
えびの飯野,0
鶴丸,0
京町温泉,0
吉松,0
都城,0
日向庄内,0
高崎新田,0
谷頭,0
万ヶ塚,0
東高崎,0
筑後吉井,0
日田,0
向之原,0
南由布,0
杉河内,0
天神山,0
小野屋,0
豊後国分,0
恵良,0
筑後大石,0
由布院,0
庄内,0
光岡,0
南大分,0
古国府,0
豊後中川,0
天ヶ瀬,0
豊後森,0
鬼瀬,0
引治,0
豊後中村,0
田主丸,0
豊後三芳,0
北山田,0
野矢,0
うきは,0
湯平,0
賀来,0
大分,0
大分,0
夜明,0
御井,0
南久留米,0
筑後草野,0
善導寺,0
久留米大学前,0
久留米,0
田吉,0
宮崎空港,0
出水,0
新八代,0
新水俣,0
鹿児島中央,0
川内,0
船尾,0
上三緒,0
下鴨生,0
筑前庄内,0
田川後藤寺,0
新飯塚,0
土井,0
西戸崎,0
須恵,0
和白,0
舞松原,0
香椎神宮,0
新原,0
伊賀,0
酒殿,0
長者原,0
雁ノ巣,0
宇美,0
香椎,0
海ノ中道,0
須恵中央,0
奈多,0
三間坂,0
肥前山口,0
高橋,0
北方,0
永尾,0
大町,0
日宇,0
武雄温泉,0
三河内,0
有田,0
大塔,0
上有田,0
佐世保,0
早岐,0
三角,0
緑川,0
住吉,0
網田,0
赤瀬,0
石打ダム,0
肥後長浜,0
波多浦,0
宇土,0
門司,0
下関,0
南鹿児島,0
入野,0
谷山,0
開聞,0
枕崎,0
平川,0
瀬々串,0
白沢,0
松ヶ浦,0
生見,0
前之浜,0
指宿,0
薩摩塩屋,0
坂之上,0
中名,0
頴娃大川,0
水成川,0
頴娃,0
喜入,0
薩摩今和泉,0
郡元,0
鹿児島中央,0
宮ヶ浜,0
東開聞,0
五位野,0
西大山,0
薩摩板敷,0
鹿児島中央,0
慈眼寺,0
御領,0
石垣,0
薩摩川尻,0
大山,0
宇宿,0
山川,0
西頴娃,0
枝光,0
八幡,0
小倉,0
折尾,0
門司港,0
九州工大前,0
折尾,0
小倉,0
黒崎,0
門司,0
水巻,0
陣原,0
小森江,0
陣原,0
スペースワールド,0
西小倉,0
戸畑,0
門司,0
海老津,0
笹原,0
西牟田,0
荒木,0
瀬高,0
久留米,0
遠賀川,0
東福間,0
千鳥,0
吉塚,0
南福岡,0
赤間,0
田代,0
福工大前,0
水城,0
二日市,0
羽犬塚,0
大野城,0
春日,0
九産大前,0
肥前旭,0
香椎,0
竹下,0
教育大前,0
博多,0
都府楼南,0
千早,0
古賀,0
弥生が丘,0
箱崎,0
けやき台,0
基山,0
南瀬高,0
福間,0
原田,0
東郷,0
天拝山,0
鳥栖,0
小川,0
松橋,0
荒尾,0
渡瀬,0
木葉,0
長洲,0
田原坂,0
川尻,0
植木,0
肥後伊倉,0
上熊本,0
宇土,0
崇城大学前,0
熊本,0
南荒尾,0
有佐,0
吉野,0
大野下,0
新八代,0
千丁,0
玉名,0
銀水,0
西里,0
大牟田,0
八代,0
川内,0
鹿児島中央,0
鹿児島中央,0
鹿児島,0
東市来,0
市来,0
木場茶屋,0
串木野,0
薩摩松元,0
湯之元,0
上伊集院,0
伊集院,0
隈之城,0
原町,0
篠栗,0
筑前山手,0
九郎原,0
長者原,0
筑前大分,0
柚須,0
城戸南蔵院前,0
門松,0
吉塚,0
桂川,0
早岐,0
川棚,0
彼杵,0
南風崎,0
岩松,0
小串郷,0
諏訪,0
千綿,0
大村,0
ハウステンボス,0
松原,0
竹松,0
諫早,0
九大学研都市,0
波多江,0
今宿,0
周船寺,0
下山門,0
姪浜,0
福吉,0
美咲が丘,0
上伊万里,0
和多田,0
佐里,0
虹ノ松原,0
桃川,0
唐津,0
鹿家,0
東唐津,0
加布里,0
大入,0
駒鳴,0
西相知,0
大川野,0
筑前前原,0
一貴山,0
肥前久保,0
肥前長野,0
金石原,0
浜崎,0
筑前深江,0
山本,0
伊万里,0
折尾,0
筑前垣生,0
若松,0
本城,0
藤ノ木,0
中間,0
奥洞海,0
東水巻,0
東水巻,0
鞍手,0
二島,0
飯塚,0
勝野,0
鯰田,0
新飯塚,0
浦田,0
直方,0
新入,0
筑前植木,0
小竹,0
筑前内野,0
上穂波,0
桂川,0
筑前山家,0
天道,0
原田,0
吉野ヶ里公園,0
鳥栖,0
肥前麓,0
中原,0
伊賀屋,0
神埼,0
久保田,0
佐賀,0
鍋島,0
牛津,0
肥前竜王,0
肥前白石,0
肥前山口,0
長崎,0
